run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
1,8.239997420089635,472.1915479619056,602.8610639031976,3437.1405803803355,5.701380941948247,-18.307328823953867,2.984499723776798,2.370880980041166,0.0,42.518510400047006,40.5857476474895,68.453938374179,62.712051573601855,106.2301997326976,90.1543966352972
2,8.25972150968746,445.6657402664423,584.1052164565772,3517.5564562790096,6.022128132355941,-36.63075618818402,2.997253418313843,2.8011773699203015,0.0,42.50914308479114,39.51789379073551,68.49457818408457,61.36221550154046,107.39384731130968,88.25906572747228
3,8.72860053023578,478.13531221821904,620.6860817950219,3586.4692963082343,5.77823379885719,33.58651166781783,2.9914391646397824,2.336689274903197,0.0,41.83443528262087,38.49004621541474,67.69221915046532,60.76931938218919,105.86266022974944,88.14259571065841
4,10.69984823104063,482.2924491800368,636.2598679084331,3824.4447499476373,6.010821902880145,-24.228147014975548,2.9832287304702163,2.3239808698632807,0.0,39.00245549665481,37.11948036839859,65.02700494681547,58.95197432206147,103.38408615584915,86.03826320311141
5,10.0421276589361,463.24732073023915,611.8197705037892,3677.101728932932,6.0101060904015995,-19.658758519217372,2.982409471518963,2.6318788464585694,0.0,41.310490957794585,37.76040955129912,67.22367851054827,59.69716885521921,106.17923975696144,86.60591721955831
6,9.259834261203467,481.86157993227243,615.0075324755162,3509.637082135305,5.706657068098634,-40.83399208262563,2.9844143249247033,2.4271499744552703,0.0,42.83485626190568,39.0437133988633,68.6603599375908,61.34621240202428,106.97164537709419,88.64887474403434
7,7.642591843670231,484.9168059937656,612.7991652488708,3418.292939020321,5.578161872384534,-26.322723533958197,2.9953511690088517,2.149226556850045,0.0,43.15587001465874,40.32208752989185,69.30038656949868,62.47670173711754,107.86246330243215,89.61749079681967
8,7.334332511013002,470.522050825879,600.7412138674408,3458.721197526902,5.757422859770865,18.423498690128326,2.9573330149490182,2.504792155254165,0.0,43.618350499626835,39.3394279440611,69.09930253936048,61.820614155286606,106.80589624872242,89.44900020305892
9,7.426755823936446,470.65278569050133,587.5887051708996,3333.386503353715,5.672992816266273,-59.500714311376214,2.9979672754342896,2.3525667863542825,0.0,44.1187687198505,41.2399251205821,69.63695018732005,63.595394575704496,106.87683978951759,91.35776618877554
10,8.778501215771824,472.69103709608316,609.5697618573904,3533.397849947214,5.796543842956988,-26.878167716786265,2.9627861842891594,2.4004081249332945,0.0,42.0862651453887,39.359335675857146,68.1302965252884,61.357896549285584,106.70216318861246,88.43589736530937
