run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
1,2.7806074390687514,1853.0551772098988,2226.283132661134,5441.492256484926,2.444204951586984,-222.8666707072407,2.9975507403559933,3.841801452488871,0.0,4.2212612311549895,3.34312179957216,48.47870842702614,38.26207325531321,110.13797120471492,82.00229758067624
2,4.321767580699179,1985.3221895247698,2244.993874836713,5688.843284256756,2.5340128309572902,-93.51582709513605,2.978671388311618,2.6715754628386765,0.0,3.2074078301009634,2.9965359194254515,44.84691295061521,37.23828910202151,107.10708952254974,79.82425754439545
3,4.335544656291605,1875.21946554631,2195.2042882908136,5638.324666580185,2.568473784720139,-163.0608618184924,2.992758499937743,3.335888054334342,0.0,3.998742684291798,3.8178253176996955,44.671963506498074,37.96863978160215,107.96543751136792,80.35068136449839
4,4.886346919165965,1718.3492585923523,2169.9688698071986,5761.782101774588,2.6552372165074063,-290.2918471246958,2.993517886901304,4.470855910201968,0.00018706320358052864,4.941652735579168,4.022087891825543,41.52226805225621,38.24586033702778,105.2454608505783,79.9043897492676
5,3.9867808188677394,1993.8837161455303,2238.1806124094874,5510.110661976039,2.4618704278937495,-239.8074999116361,2.988283344181851,2.7631889535570515,0.34101091375479875,3.2023557580721422,2.8082606765642364,46.450801380472626,39.062168424433345,110.22641321036025,81.05300839144266
6,2.933090277975992,1887.7906145304441,2286.2377742175013,5503.892016850412,2.4074013993291667,-175.7389675192535,2.975748520240154,3.2932483833670827,0.0,3.1872854442584666,3.5103250842200038,44.3827287285273,39.91919655790365,107.67530057347382,82.51112632162976
7,3.3973979809629777,1933.7894507162273,2165.6039579063654,5457.726729169488,2.5201869017850513,-199.19769857265055,2.9739567444254917,2.9739567444254917,0.0,3.7128797623500036,3.5398984804209848,46.64048736552991,39.980710945750985,109.0993403142111,82.06831578791467
8,4.047191924882036,1974.047816503793,2237.639327386394,5641.0798266436905,2.5209960146850747,-261.8131180368364,2.989382005829495,2.763566202154717,0.00439664919239835,3.2406295178009215,3.10377377947479,46.518713637107005,36.985396193982595,108.93108987875571,79.63096260784046
9,2.7856659008096423,1879.064733857289,2331.9278610181063,5622.34170779027,2.411027288526665,-144.0570813305676,2.978267290488272,4.306966848073904,0.0,4.636976818739989,2.3163635423285083,44.97447711924987,37.57716572433929,107.61619320091052,80.75706621152099
10,3.8425248640128906,2067.3240223526955,2272.037888539955,5629.422491371632,2.477697453799585,-134.79117814078927,2.9370818842829216,1.9670128080816767,0.007145272395137514,2.44712475115881,2.4458538355156003,44.92575077107156,38.15484559800778,107.10868468389981,80.60961427519703
11,3.716129492788591,2007.5097115468234,2212.794299857691,5556.658032758161,2.511149831285954,-425.8005008883774,2.9481601574198297,2.35706937535395,0.04945115290701896,2.8359591664808983,3.016136091975307,46.10239194543841,38.79457896418993,108.93095943285768,80.78515405360164
12,3.8399801291816607,1902.2075162008405,2236.2189799752086,5686.58853514865,2.5429479787402993,-109.81982394680381,2.9599335953891552,3.35129922494541,0.0,3.9255494913232605,3.4613895212991044,45.03537991980875,36.41483455296459,106.02312223364231,80.47167943057939
13,3.869286444949399,1770.9689172301441,2215.1520262192935,5586.22480433248,2.5218245692449193,-70.35626619681716,2.9850145909478147,4.472882670440843,0.017945436037257068,4.8561831701286495,3.750672945018859,48.562430343051126,36.37317032739594,111.14776969535342,79.49363889433029
14,3.457248262071606,2114.7674488257617,2341.657521735877,5634.669578325003,2.4062739858508464,-144.26892076991498,2.969493117550697,2.1832509322854596,0.16307387186665956,2.504517226658548,1.9936281170364476,45.38449887536338,36.998647790884476,106.15167945486114,81.07221454401675
15,4.325861268121025,1985.0761639028788,2248.7088258136064,5693.345403546467,2.5318286379236117,-188.38018250092864,2.97909033805624,2.813234406581869,0.0,3.3117302576537417,2.8212991428561627,45.60318861339468,36.79526794359647,108.81245650491749,79.08559776560949
16,3.6392708417816504,2074.58625177294,2276.912838410586,5546.389791322872,2.435925388867571,-286.78338085114956,2.9849742291961547,2.1305024811592297,0.07650395793088816,2.6223997259955194,2.031354288374613,45.048636082123785,39.02939043673167,106.18350177860385,82.25098762597368
